code,parent_code,level,label_el,label_en
34310000-3,34300000-0,3,Μηχανές και μέρη τους (οχήματα),Engines and engine parts
34311000-0,34310000-3,4,Μηχανές (οχήματα),Engines
34311100-1,34311000-0,5,Κινητήρες εσωτερικής καύσης για αυτοκίνητα οχήματα και μοτοσικλέτες,Internal-combustion engines for motor vehicles and motorcycles
34311110-4,34311100-1,6,Κινητήρες εσωτερικής καύσης με ανάφλεξη μέσω σπινθηριστή,Spark-ignition engines
34311120-7,34311100-1,6,Κινητήρες εσωτερικής καύσης με ανάφλεξη μέσω συμπίεσης,Compression-ignition engines
34312000-7,34310000-3,4,Μέρη κινητήρων,Engine parts
34312100-8,34312000-7,5,Ιμάντες ανεμιστήρων,Fan belts
34312200-9,34312000-7,5,Σπινθηριστές,Spark plugs
34312300-0,34312000-7,5,Ψυγεία οχημάτων,Vehicle radiators
34312400-1,34312000-7,5,Πιστόνια,Pistons
34312500-2,34312000-7,5,Στεγανοποιητικά παρεμβύσματα,Gaskets
34312600-3,34312000-7,5,Ελαστικοί ιμάντες μεταφοράς,Rubber conveyor belts
34312700-4,34312000-7,5,Ελαστικοί ιμάντες μετάδοσης,Rubber transmission belts
34320000-6,34300000-0,3,Μηχανολογικά ανταλλακτικά εκτός από κινητήρες και μέρη τους,Mechanical spare parts except engines and engine parts
34321000-3,34320000-6,4,Άξονες και κιβώτια ταχυτήτων,Axles and gearboxes
34321100-4,34321000-3,5,Άξονες τροχών,Axles
34321200-5,34321000-3,5,Κιβώτια ταχυτήτων,Gearboxes
34322000-0,34320000-6,4,Φρένα και μέρη τους,Brakes and brake parts
34322100-1,34322000-0,5,Εξοπλισμός φρένων,Brake equipment
34322200-2,34322000-0,5,Δισκόφρενα,Disc brakes
34322300-3,34322000-0,5,Επενδύσεις φρένων,Brake linings
34322400-4,34322000-0,5,Τακάκια φρένων,Brake pads
34322500-5,34322000-0,5,Σιαγόνες φρένων,Brake shoes
34324000-4,34320000-6,4,"Τροχοί, μέρη και εξαρτήματά τους","Wheels, parts and accessories"
34324100-5,34324000-4,5,Εξοπλισμός ζυγοστάθμισης τροχών,Wheel-balancing equipment
34325000-1,34320000-6,4,Σιγαστήρες και εξατμίσεις,Silencers and exhaust pipes
34325100-2,34325000-1,5,Σιγαστήρες,Silencers
34325200-3,34325000-1,5,Εξατμίσεις,Exhaust pipes
34326000-8,34320000-6,4,"Γρύλλοι οχημάτων, συμπλέκτες και μέρη τους","Vehicle jacks, clutches and associated parts"
34326100-9,34326000-8,5,Συμπλέκτες και μέρη τους,Clutches and associated parts
34326200-0,34326000-8,5,Γρύλλοι οχημάτων,Vehicle jacks
34327000-5,34320000-6,4,"Τιμόνια, άξονες και κιβώτια διεύθυνσης","Steering wheels, columns and boxes"
34327100-6,34327000-5,5,Τιμόνια,Steering wheels
34327200-7,34327000-5,5,Άξονες και κιβώτια,Columns and boxes
34328000-2,34320000-6,4,"Τράπεζες δοκιμών, κιτ μετατροπής οχημάτων και ζώνες ασφαλείας","Test benches, vehicle conversion kits and seat belts"
34328100-3,34328000-2,5,Τράπεζες δοκιμών,Test benches
34328200-4,34328000-2,5,Κιτ μετατροπής οχημάτων,Vehicle conversion kits
34328300-5,34328000-2,5,Ζώνες ασφαλείας,Seat belts
34330000-9,34300000-0,3,"Ανταλλακτικά για οχήματα μεταφοράς αγαθών, μικρά φορτηγά και αυτοκίνητα","Spare parts for goods vehicles, vans and cars"
34350000-5,34300000-0,3,Ελαστικά ελαφράς και βαρέας χρήσεως,Tyres for heavy/light-duty vehicles
34351000-2,34350000-5,4,Ελαστικά ελαφράς χρήσεως,Light-duty tyres
34351100-3,34351000-2,5,Ελαστικά επίσωτρα αυτοκινήτων,Tyres for motor cars
34352000-9,34350000-5,4,Ελαστικά επίσωτρα βαρέας χρήσεως,Heavy-duty tyres
34352100-0,34352000-9,5,Ελαστικά επίσωτρα φορτηγών αυτοκινήτων,Tyres for trucks
34352200-1,34352000-9,5,Ελαστικά επίσωτρα λεωφορείων,Tyres for buses
34352300-2,34352000-9,5,Ελαστικά επίσωτρα γεωργικών οχημάτων,Agrarian tyres
34360000-8,34300000-0,3,Καθίσματα αεροσκαφών πολιτικής αεροπορίας,Seats for civil aircraft
34370000-1,34300000-0,3,Καθίσματα αυτοκίνητων οχημάτων,Seats for motor vehicles
34390000-7,34300000-0,3,Εξαρτήματα ελκυστήρων,Tractor accessories
34400000-1,34000000-7,2,"Μοτοσικλέτες, δίκυκλα και σάιντ-καρ","Motorcycles, bicycles and sidecars"
34410000-4,34400000-1,3,Μοτοσικλέτες,Motorcycles
34411000-1,34410000-4,4,Μέρη και εξαρτήματα μοτοσικλετών,Parts and accessories for motorcycles
34411100-2,34411000-1,5,Σάιντ-καρ,Motorcycle sidecars
34411110-5,34411100-2,6,Μέρη και εξαρτήματα για σάιντ-καρ,Parts and accessories for motorcycle sidecars
34411200-3,34411000-1,5,Ελαστικά επίσωτρα μοτοσικλετών,Tyres for motorcycles
34420000-7,34400000-1,3,Σκούτερ και μοτοποδήλατα με επικουρικό κινητήρα,Motor scooters and cycles with auxiliary motors
34421000-7,34420000-7,4,Σκούτερ,Motor scooters
34422000-7,34420000-7,4,Μοτοποδήλατα με επικουρικό κινητήρα,Cycles with auxiliary motors
34430000-0,34400000-1,3,Ποδήλατα,Bicycles
34431000-7,34430000-0,4,Δίκυκλα χωρίς κινητήρα,Non-motorised bicycles
34432000-4,34430000-0,4,Μέρη και εξαρτήματα για δίκυκλα,Parts and accessories for bicycles
34432100-5,34432000-4,5,Ελαστικά επίσωτρα ποδηλάτων,Tyres for bicycles
34500000-2,34000000-7,2,Πλοία και πλοιάρια,Ships and boats
34510000-5,34500000-2,3,Πλοία,Ships
34511100-3,34510000-5,5,Σκάφη θαλάσσιας περιπολίας,Marine patrol vessels
34512000-9,34510000-5,4,Πλοία και παρόμοια σκάφη για τη μεταφορά επιβατών ή εμπορευμάτων,Ships and similar vessels for the transport of persons or goods
34512100-0,34512000-9,5,Πορθμεία,Ferry boats
34512200-1,34512000-9,5,Κρουαζιερόπλοια,Cruise ships
34512300-2,34512000-9,5,Πλοία για τη μεταφορά εμπορευμάτων χύμα,Bulk carriers
34512400-3,34512000-9,5,Φορτηγά πλοία,Cargo ships
34512500-4,34512000-9,5,Εμπορικά σκάφη,Goods vessels
34512600-5,34512000-9,5,Πλοία για τη μεταφορά εμπορευματοκιβωτίων,Container carriers
34512700-6,34512000-9,5,Πλοία οχηματαγωγά τύπου ρο-ρο,Ro-Ro vessels
34512800-7,34512000-9,5,Δεξαμενόπλοια,Tanker ships
34512900-8,34512000-9,5,Πλοία για τη μεταφορά οχημάτων,Car carriers
34512950-3,34512900-8,6,Πλοία ψυγεία,Refrigerated vessels
34513000-6,34510000-5,4,"Αλιευτικά, σωστικά και άλλα ειδικά σκάφη","Fishing, emergency and other special vessels"
34513100-7,34513000-6,5,Αλιευτικά σκάφη,Fishing vessels
34513150-2,34513100-7,6,Πλοία-εργοστάσια,Factory ships
34513200-8,34513000-6,5,Ρυμουλκά πλοία,Tug boats
34513250-3,34513200-8,6,Βυθοκόροι,Dredgers
34513300-9,34513000-6,5,Πλωτές αποβάθρες θαλάσσης,Seagoing floating docks
34513350-4,34513300-9,6,Σκάφη υποστήριξης καταδύσεων,Dive-support vessels
34513400-0,34513000-6,5,Πλωτοί γερανοί,Floating cranes
34513450-5,34513400-0,6,Σκάφη παραγωγής,Production vessels
34513500-1,34513000-6,5,Σκάφη σεισμολογικών παρατηρήσεων,Seismic survey vessels
34513550-6,34513500-1,6,Σκάφη επίβλεψης,Survey vessels
34513600-2,34513000-6,5,Σκάφη ελέγχου της ρύπανσης,Pollution-control vessels
34513650-7,34513600-2,6,Πυροσβεστικά σκάφη,Fire vessels
34513700-3,34513000-6,5,Σκάφη διάσωσης,Rescue vessels
34513750-8,34513700-3,6,Ελαφρά σκάφη,Light vessels
34514000-3,34510000-5,4,Πλωτές ή καταδυόμενες εξέδρες γεώτρησης ή παραγωγής,Floating or submersible drilling or production platforms
34514100-4,34514000-3,5,Πλοία γεωτρήσεων,Drillships
34514200-5,34514000-3,5,Πλατφόρμες ανύψωσης,Jack-up rigs
34514300-6,34514000-3,5,Εξοπλισμός για εξέδρες γεώτρησης,Platforms drilling rigs
34514400-7,34514000-3,5,Πλωτές εξέδρες γεώτρησης,Floating drilling platforms
34514500-8,34514000-3,5,Πλωτή εγκατάσταση παραγωγής,Floating production facility
34514600-9,34514000-3,5,Ημιβυθιζόμενες εξέδρες γεώτρησης,Semi-submersible rigs
34514700-0,34514000-3,5,Κινητή εξέδρα,Mobile platforms
34514800-1,34514000-3,5,Εξέδρες ανοιχτής θαλάσσης,Offshore platforms
34514900-2,34514000-3,5,Εξέδρες γεώτρησης,Drilling platforms
34515000-0,34510000-5,4,Πλωτές κατασκευές,Floating structures
34515100-1,34515000-0,5,Σημαδούρες,Marker buoys
34515200-2,34515000-0,5,Φουσκωτές σχεδίες,Inflatable rafts
34516000-7,34510000-5,4,Προστατευτικά πλευρών σκάφους,Marine fenders
34520000-8,34500000-2,3,Σκάφη,Boats
34521000-5,34520000-8,4,Ειδικά σκάφη,Specialised boats
34521100-6,34521000-5,5,Σκάφη επιτήρησης,Surveillance boats
34521200-7,34521000-5,5,Περιπολικά σκάφη τελωνείου,Customs patrol boats
34521300-8,34521000-5,5,Περιπολικά σκάφη αστυνομίας,Police patrol boats
34521400-9,34521000-5,5,Ναυαγοσωστικά σκάφη,Lifeboats
34522000-2,34520000-8,4,Σκάφη αναψυχής και αθλητικών δραστηριοτήτων,Pleasure and sporting boats
34522100-3,34522000-2,5,Ιστιοπλοϊκά σκάφη,Sailing boats
34522150-8,34522100-3,6,Ιστιοπλοϊκά σκάφη τύπου καταμαράν,Catamaran sailing boats
34522200-4,34522000-2,5,Σωσίβιες λέμβοι,Rescue dinghies
34522250-9,34522200-4,6,Μικρά ιστιοπλοϊκά σκάφη,Sailing dinghies
34522300-5,34522000-2,5,Μικρές βάρκες,Small craft
34522350-0,34522300-5,6,Βάρκες από ίνες υάλου,Fibreglass dinghies
34522400-6,34522000-2,5,Ημιάκαμπτα σκάφη,Semi-rigid dinghies
34522450-1,34522400-6,6,Φουσκωτά σκάφη,Inflatable craft
34522500-7,34522000-2,5,Λέμβοι από καουτσούκ,Rubber dinghies
34522550-2,34522500-7,6,Κανό,Canoes
34522600-8,34522000-2,5,Λέμβοι με κουπιά,Rowing boats
34522700-9,34522000-2,5,Λέμβοι με πεντάλ,Pedal boats
34600000-3,34000000-7,2,Μηχανές και τροχαίος εξοπλισμός σιδηροδρόμων και τροχιοδρόμων και μέρη τους,Railway and tramway locomotives and rolling stock and associated parts
34610000-6,34600000-3,3,Σιδηροδρομικές μηχανές και εφοδιοφόρα,Rail locomotives and tenders
34611000-3,34610000-6,4,Σιδηροδρομικές μηχανές,Locomotives
34612000-0,34610000-6,4,Εφοδιοφόρα σιδηροδρομικών μηχανών και τελεφερίκ,Locomotive tenders and cable cars
34612100-1,34612000-0,5,Εφοδιοφόρα σιδηροδρομικών μηχανών,Locomotive tenders
34612200-2,34612000-0,5,Τελεφερίκ,Cable cars
34620000-9,34600000-3,3,Τροχαίος εξοπλισμός,Rolling stock
34621000-6,34620000-9,4,"Οχήματα συντήρησης ή επισκευής σιδηροδρομικών γραμμών, και σιδηροδρομικά βαγόνια για τη μεταφορά φορτίων","Railway maintenance or service vehicles, and railway freight wagons"
34621100-7,34621000-6,5,Σιδηροδρομικά βαγόνια για τη μεταφορά φορτίων,Railway freight wagons
34621200-8,34621000-6,5,Οχήματα συντήρησης και επισκευής σιδηροδρομικών γραμμών,Railway maintenance or service vehicles
34622000-3,34620000-9,4,Σιδηροδρομικές ή τροχιοδρομικές άμαξες μεταφοράς επιβατών και τρόλεϊ,"Railway and tramway passenger coaches, and trolleybuses"
34622100-4,34622000-3,5,Επιβατικά βαγόνια αστικού σιδηροδρόμου,Tramway passenger coaches
34622200-5,34622000-3,5,Επιβατικά βαγόνια σιδηροδρόμων,Railway passenger coaches
34622300-6,34622000-3,5,Τρόλεϊ,Trolleybuses
34622400-7,34622000-3,5,Σιδηροδρομικά βαγόνια,Railway carriages
34622500-8,34622000-3,5,Σκευοφόροι και οχήματα ειδικής χρήσης,Luggage vans and special-purpose vans
34630000-2,34600000-3,3,Μέρη σιδηροδρομικών ή τροχιοδρομικών μηχανών έλξης ή τροχαίου υλικού· εξοπλισμός ελέγχου της κυκλοφορίας για σιδηροδρόμους,Parts of railway or tramway locomotives or rolling stock; railways traffic-control equipment
34631000-9,34630000-2,4,Μέρη σιδηροδρομικών ή τροχιοδρομικών μηχανών έλξης ή τροχαίου υλικού,Parts of locomotives or rolling stock
34631100-0,34631000-9,5,Τροχοί ενός τεμαχίου,Monobloc wheels
34631200-1,34631000-9,5,Προφυλακτήρες και συστήματα έλξης,Buffers and drawgear
34631300-2,34631000-9,5,Καθίσματα τροχαίου υλικού,Rolling-stock seats
34631400-3,34631000-9,5,"Άξονες τροχών, επίσωτρα και άλλα μέρη σιδηροδρομικών μηχανών έλξης ή τροχαίου υλικού",Wheel axles and tyres and other parts of locomotives or rolling stock
34632000-6,34630000-2,4,Εξοπλισμός ελέγχου της κυκλοφορίας για σιδηροδρόμους,Railways traffic-control equipment
34632100-7,34632000-6,5,Μηχανική σηματοδότηση,Mechanical signalling
34632200-8,34632000-6,5,Ηλεκτρικός εξοπλισμός σηματοδότησης για σιδηροδρόμους,Electrical signalling equipment for railways
34632300-9,34632000-6,5,Ηλεκτρολογικές εγκαταστάσεις σιδηροδρομικών γραμμών,Electrical installations for railways
34640000-5,34600000-3,3,Στοιχεία αυτοκινήτων,Automotive elements
34700000-4,34000000-7,2,Αεροσκάφη και διαστημόπλοια,Aircraft and spacecraft
34710000-7,34700000-4,3,"Ελικόπτερα, αεροπλάνα, διαστημικά οχήματα και άλλα αεροσκάφη μηχανικής προώθησης","Helicopters, aeroplanes, spacecraft and other powered aircraft"
34711000-4,34710000-7,4,Ελικόπτερα και αεροπλάνα,Helicopters and aeroplanes
34711100-5,34711000-4,5,Αεροπλάνα,Aeroplanes
34711110-8,34711100-5,6,Αεροσκάφη,Fixed-wing aircrafts
34711200-6,34711000-4,5,Αεροσκάφη χωρίς πιλότο,Non-piloted aircraft
34711300-7,34711000-4,5,Αεροσκάφη με πιλότο,Piloted aircraft
34711400-8,34711000-4,5,Αεροσκάφη ειδικής χρήσης,Special-purpose aircraft
34711500-9,34711000-4,5,Ελικόπτερα,Helicopters
34712000-1,34710000-7,4,"Διαστημόπλοια, δορυφόροι και οχήματα εκτόξευσης","Spacecraft, satellites and launch vehicles"
34712100-2,34712000-1,5,Διαστημόπλοια,Spacecraft
34712200-3,34712000-1,5,Δορυφόροι,Satellites
34712300-4,34712000-1,5,Συστήματα εκτόξευσης διαστημοπλοίων,Spacecraft launchers
34720000-0,34700000-4,3,"Αερόστατα, πηδαλιουχούμενα και άλλα μη μηχανοκίνητα αεροσκάφη","Balloons, dirigibles and other non-powered aircraft"
34721000-7,34720000-0,4,Ανεμόπτερα,Gliders
34721100-8,34721000-7,5,Αιωρόπτερα,Hang-gliders
34722000-4,34720000-0,4,Αερόστατα και πηδαλιουχούμενα,Balloons and dirigibles
34722100-5,34722000-4,5,Αερόστατα,Balloons
34722200-6,34722000-4,5,Πηδαλιουχούμενα,Dirigibles
34730000-3,34700000-4,3,"Μέρη αεροσκαφών, διαστημικών σκαφών και ελικοπτέρων","Parts for aircraft, spacecraft and helicopters"
34731000-0,34730000-3,4,Μέρη αεροσκαφών,Parts for aircraft
34731100-1,34731000-0,5,Κινητήρες αεροσκαφών,Aircraft engines
34731200-2,34731000-0,5,Αεροσκάφη με στροβιλοκινητήρα αεριοπροώσεως,Turbojets
34731300-3,34731000-0,5,Αεροσκάφη με στροβιλοκίνητο ελικοφόρο κινητήρα,Turbopropellers
34731400-4,34731000-0,5,Κινητήρες αεριοπροώσεως,Jet engines
34731500-5,34731000-0,5,Μέρη κινητήρων αεροσκαφών,Parts for aircraft engines
34731600-6,34731000-0,5,Μέρη στροβιλοκινητήρων προώσεως ή ελικοστροβιλοκινητήρων,Parts for turbojets or turbopropellers
34731700-7,34731000-0,5,Μέρη ελικοπτέρων,Parts for helicopters
34731800-8,34731000-0,5,Ελαστικά επίσωτρα αεροσκαφών,Tyres for aircraft
34740000-6,34700000-4,3,"Εξοπλισμός αεροσκαφών ή διαστημοπλοίων, συστήματα εκπαίδευσης, προσομοιωτές και συναφή μέρη","Aircraft or spacecraft equipment, trainers, simulators and associated parts"
34741000-3,34740000-6,4,Εξοπλισμός αεροσκαφών,Aircraft equipment
34741100-4,34741000-3,5,Μηχανισμός εκτόξευσης αεροσκαφών,Aircraft-launching gear
34741200-5,34741000-3,5,Συστήματα καταπελτών για την εκτόξευση αεροσκαφών,Aircraft catapult systems
34741300-6,34741000-3,5,Ανασχετικός μηχανισμός προσγείωσης αεροσκαφών,Deck-arresting gear
34741400-7,34741000-3,5,Προσομοιωτές πτήσης,Flight simulators
34741500-8,34741000-3,5,Συσκευές εδάφους για εκπαίδευση στην πτήση,Ground flying trainer
34741600-9,34741000-3,5,Σάκοι για την αεροναυτία,Air-sickness bags
34900000-6,34000000-7,2,Ποικίλος εξοπλισμός μεταφοράς και ανταλλακτικά,Miscellaneous transport equipment and spare parts
34910000-9,34900000-6,3,"Ιππήλατα ή χειροκίνητα αμάξια, λοιπά οχήματα χωρίς μηχανική πρόωση, χειράμαξες μεταφοράς αποσκευών και διάφορα ανταλλακτικά","Horse or hand-drawn carts, other non-mechanically-propelled vehicles, baggage carts and miscellaneous spare parts"
34911000-6,34910000-9,4,Ιππήλατα ή χειροκίνητα αμάξια και λοιπά οχήματα χωρίς μηχανική πρόωση,Horse or hand-drawn carts and other non-mechanically-propelled vehicles
34911100-7,34911000-6,5,Χειραμάξια,Trolleys
34912000-3,34910000-9,4,Χειράμαξες μεταφοράς αποσκευών,Baggage carts
34912100-4,34912000-3,5,Παιδικά καρότσια,Pushchairs
34913000-0,34910000-9,4,Διάφορα ανταλλακτικά,Miscellaneous spare parts
34913100-1,34913000-0,5,Μεταχειρισμένα ελαστικά,Used tyres
34913200-2,34913000-0,5,Αναγομωμένα ελαστικά,Retreaded tyres
34913300-3,34913000-0,5,Παραβλήματα πλοίων,Fenders
34913400-4,34913000-0,5,Ρολόγια οχημάτων,Clocks for vehicles
34913500-5,34913000-0,5,Κλειδαριές για αυτοκίνητα οχήματα,Vehicle locks
34913510-8,34913500-5,6,Κλειδαριές ποδηλάτων,Bicycle locks
34913600-6,34913000-0,5,Έλικες πλοίων,Ship propellers
34913700-7,34913000-0,5,Κλίμακες για πυροσβεστικά οχήματα,Firefighting vehicle ladders
34913800-8,34913000-0,5,Άγκυρες,Anchors
34920000-2,34900000-6,3,Οδικός εξοπλισμός,Road equipment
34921000-9,34920000-2,4,Εξοπλισμός συντήρησης οδών,Road-maintenance equipment
34921100-0,34921000-9,5,Σάρωθρα οδικού καθαρισμού,Road sweepers
34921200-1,34921000-9,5,Σάρωθρα καθαρισμού διαδρόμων προσγείωσης-απογείωσης,Runway sweepers
34922000-6,34920000-2,4,Εξοπλισμός διαγράμμισης οδών,Road-marking equipment
34922100-7,34922000-6,5,Υλικά σήμανσης οδών,Road markings
34922110-0,34922100-7,6,Υαλοσφαιρίδια διαγράμμισης οδών,Glass beads for road marking
34923000-3,34920000-2,4,Εξοπλισμός ελέγχου οδικής κυκλοφορίας,Road traffic-control equipment
34924000-0,34920000-2,4,Πινακίδες μεταβαλλόμενου μηνύματος,Variable message signs
34926000-4,34920000-2,4,Εξοπλισμός ελέγχου στάθμευσης αυτοκινήτων,Car park control equipment
34927000-1,34920000-2,4,Εξοπλισμός διοδίων,Toll equipment
34927100-2,34927000-1,5,Αντιπαγετικό αλάτι,Road salt
34928000-8,34920000-2,4,Εξοπλισμός οδικού δικτύου,Road furniture
34928100-9,34928000-8,5,Στηθαία πρόσκρουσης,Crash barriers
34928110-2,34928100-9,6,Κιγκλιδώματα οδικού δικτύου,Road barriers
34928120-5,34928100-9,6,Μέρη κιγκλιδωμάτων,Barrier components
34928200-0,34928000-8,5,Περιφράξεις,Fences
34928210-3,34928200-0,6,Ξύλινοι πάσσαλοι,Wooden posts
34928220-6,34928200-0,6,Στοιχεία περίφραξης,Fencing components
34928230-9,34928200-0,6,Ηχοφράκτες,Noise fence
34928300-1,34928000-8,5,Στηθαία ασφαλείας,Safety barriers
34928310-4,34928300-1,6,Φράγματα ασφαλείας,Safety fencing
34928320-7,34928300-1,6,Μπάρες φύλαξης σιδηροδρομικών διαβάσεων,Guardrails
34928330-0,34928300-1,6,Διατάξεις προστασίας από χιονοστιβάδες,Paravalanche devices
34928340-3,34928300-1,6,Χιονοφράκτες,Snow fences
34928400-2,34928000-8,5,Αστικός εξοπλισμός,Urban furniture
34928410-5,34928400-2,6,Πάσσαλοι οριοθέτησης,Marker posts
34928420-8,34928400-2,6,Φωτεινές προειδοποιητικές ενδείξεις κινδύνου,Road-danger lamps
34928430-1,34928400-2,6,Φωτεινά σήματα,Beacons
34928440-4,34928400-2,6,Στύλοι στάσεων λεωφορείου,Bus-stop posts
34928450-7,34928400-2,6,Στυλίσκοι,Bollards
34928460-0,34928400-2,6,Οδικοί κώνοι,Road cones
34928470-3,34928400-2,6,Σήματα,Signage
34928471-0,34928470-3,7,Εξοπλισμός πινακίδων σήμανσης,Sign materials
34928472-7,34928470-3,7,Στύλοι πινακίδων σήμανσης,Sign posts
34928480-6,34928400-2,6,Δοχεία και κάδοι απορριμμάτων,Waste and rubbish containers and bins
34928500-3,34928000-8,5,Εξοπλισμός φωτισμού οδών,Street-lighting equipment
34928510-6,34928500-3,6,Κολώνες φωτισμού οδών,Street-lighting columns
34928520-9,34928500-3,6,Στύλοι φωτισμού,Lampposts
34928530-2,34928500-3,6,Φωτιστικά μέσα οδών,Street lamps
34929000-5,34920000-2,4,Υλικά αυτοκινητοδρόμων,Highway materials
34930000-5,34900000-6,3,Θαλάσσιος εξοπλισμός,Marine equipment
34931000-2,34930000-5,4,Εξοπλισμός λιμένων,Harbour equipment
34931100-3,34931000-2,5,Εγκαταστάσεις για αποβάθρες,Docking installations
34931200-4,34931000-2,5,Γέφυρες επιβίβασης επιβατών για σκάφη,Passenger boarding bridges for ships
34931300-5,34931000-2,5,Σκάλες επιβίβασης επιβατών για σκάφη,Passenger boarding stairs for ships
34931400-6,34931000-2,5,Προσομοιωτές γεφυρών σκαφών,Ship bridge simulators
34931500-7,34931000-2,5,Εξοπλισμός ελέγχου κυκλοφορίας σκαφών,Vessel traffic control equipment
34932000-9,34930000-5,4,Συγκροτήματα ραντάρ,Radar sets
34933000-6,34930000-5,4,Εξοπλισμός ναυσιπλοΐας,Navigation equipment
34934000-3,34930000-5,4,Προωστικά πτερύγια,Propeller blades
34940000-8,34900000-6,3,Εξοπλισμός σιδηροδρόμων,Railway equipment
34941000-5,34940000-8,4,Σιδηροδρομικές γραμμές και εξαρτήματα,Rails and accessories
34941100-6,34941000-5,5,Ράβδοι,Rods
34941200-7,34941000-5,5,Σιδηροτροχιές,Track rails
34941300-8,34941000-5,5,Γραμμή αστικού σιδηροδρόμου,Tramline
34941500-0,34941000-5,5,Εγκάρσιες δοκοί,Crossheads
34941600-1,34941000-5,5,Ανισόπεδες διαβάσεις σιδηροδρομικών γραμμών,Crossovers
34941800-3,34941000-5,5,Κλειδιά αλλαγής σιδηροτροχιών,Railway points
34942000-2,34940000-8,4,Εξοπλισμός σηματοδότησης,Signalling equipment
34942100-3,34942000-2,5,Σηματοδότες,Signal posts
34942200-4,34942000-2,5,Κυτία σηματοδότησης,Signalling boxes
34943000-9,34940000-8,4,Σύστημα παρακολούθησης τραίνων,Train-monitoring system
34944000-6,34940000-8,4,Συστήματα θέρμανσης σιδηροδρομικών συζευκτικών κόμβων,Points heating system
34945000-3,34940000-8,4,Μηχάνημα χάραξης ευθύγραμμης τροχιάς,Track-alignment machinery
34946000-0,34940000-8,4,Υλικά και προμήθειες κατασκευής σιδηροδρομικών γραμμών,Railway-track construction materials and supplies
34946100-1,34946000-0,5,Υλικά κατασκευής σιδηροδρομικών γραμμών,Railway-track construction materials
34946110-4,34946100-1,6,Τροχιές,Rails
34946120-7,34946100-1,6,Υλικά σιδηροδρόμων,Railway materials
34946121-4,34946120-7,7,Αμφιδέτες και υπόβαθρα,Fishplates and sole plates
34946122-1,34946120-7,7,Αντιτροχιές,Check rails
34946200-2,34946000-0,5,Υλικό κατασκευής σιδηροδρομικών γραμμών,Railway-track construction supplies
34946210-5,34946200-2,6,Ηλεκτρικά αγώγιμες σιδηροτροχιές,Current-conducting rails
34946220-8,34946200-2,6,"Λάμες και καρδιές διασταύρωσης σιδηροτροχιών, διακλαδώσεις και εξαρτήματα διασταύρωσης","Switch blades, crossing frogs, point rods and crossing pieces"
34946221-5,34946220-8,7,Λάμες,Switch blades
34946222-2,34946220-8,7,Καρδιές διασταύρωσης σιδηροτροχιών,Crossing frogs
34946223-9,34946220-8,7,Διακλαδώσεις,Point rods
34946224-6,34946220-8,7,Εξαρτήματα διασταύρωσης,Crossing pieces
34946230-1,34946200-2,6,"Συνδετήρες, πλάκες και σύνδεσμοι σιδηροτροχιών","Rail clips, bedplates and ties"
34946231-8,34946230-1,7,Συνδετήρες σιδηροτροχιών,Rail clips
34946232-5,34946230-1,7,Πλάκες και σύνδεσμοι σιδηροτροχιών,Bedplates and ties
34946240-4,34946200-2,6,Καθίσματα και υλικό στερέωσης καθισμάτων,Chairs and chair wedges
34947000-7,34940000-8,4,Στρωτήρες και μέρη στρωτήρων,Sleepers and parts of sleepers
34947100-8,34947000-7,5,Διασυνδετικές δοκοί,Sleepers
34947200-9,34947000-7,5,Μέρη στρωτήρων,Parts of sleepers
34950000-1,34900000-6,3,Εξοπλισμός αποβάθρας φόρτωσης,Loadbearing equipment
34951000-8,34950000-1,4,Εξέδρες εισόδου,Access platforms
34951200-0,34951000-8,5,Εξοπλισμός χειρισμού ιλύος,Sludge-handling equipment
34951300-1,34951000-8,5,Εγκατάσταση ξήρανσης ιλύος,Sludge-drier installation
34952000-5,34950000-1,4,Εξοπλισμός ανύψωσης υδραυλικής πλατφόρμας,Hydraulic-platforms hoists
34953000-2,34950000-1,4,Ράμπες πρόσβασης,Access ramps
34953100-3,34953000-2,5,Ράμπες πορθμείου,Ferry ramps
34953300-5,34953000-2,5,Διάζωμα επιβατών,Passenger walkway
34954000-9,34950000-1,4,Κινητή γέφυρα για επιβάτες,Gantries
34955000-6,34950000-1,4,Πλωτή αποβάθρα,Floating dock
34955100-7,34955000-6,5,Πλωτή μονάδα αποθήκευσης,Floating storage unit
34960000-4,34900000-6,3,Εξοπλισμός αερολιμένων,Airport equipment
34961000-1,34960000-4,4,Σύστημα διακίνησης αποσκευών,Baggage-handling system
34961100-2,34961000-1,5,Εξοπλισμός διακίνησης αποσκευών,Baggage-handling equipment
34962000-8,34960000-4,4,Εξοπλισμός ελέγχου εναέριας κυκλοφορίας,Air-traffic control equipment
34962100-9,34962000-8,5,Εξοπλισμός πύργου ελέγχου,Control tower equipment
34962200-0,34962000-8,5,Έλεγχος εναέριας κυκλοφορίας,Air-traffic control
34962210-3,34962200-0,6,Προσομοίωση ελέγχου εναέριας κυκλοφορίας,Air-traffic control simulation
34962220-6,34962200-0,6,Συστήματα ελέγχου εναέριας κυκλοφορίας,Air-traffic control systems
34962230-9,34962200-0,6,Κατάρτιση σε σχέση με τον έλεγχο εναέριας κυκλοφορίας,Air-traffic control training
34963000-5,34960000-4,4,Σύστημα ενόργανης προσγείωσης (ILS),Instrument Landing System (ILS)
